Extra Assistant Commissioner Itanagar,15.0
Jilla e-SEVA Society Devbhoomi Dwarka,64.0
Sixth Dimension Project Solutions Ltd,688.0
M/s TAVASYA VENTURE PARTNERS PVT. LTD.,687.0
SoftAge Information Technology Limited,185.0
UT Computers Educational & Welfare Soc,200.0
CSC e-Governance Services India Limited,2325.0
Extra Assistant Commissioner Naharlagun,22.0
Limra Global e Services Private Limited,290.0
Business Information Processing Services,34.0
Chinar Construction Company Prime agency,3.0
District Family & Welfare Society Palwal,0.0
District Sukhmani Society Fazilka Punjab,7.0
District Sukhmani Society Sangrur Punjab,5.0
SRM Education And Social Welfare Society,26253.0
TAMILNADU ARASU CABLE TV CORPORATION LTD,15981.0
District Sukhmani Society Amritsar Punjab,0.0
District Sukhmani Society Bathinda Punjab,4.0
Akhil Bhartiya Majdoor Shiksha Sewa Samiti,642.0
City Hawks Manpower Services & Consultancy,635.0
District E-Seva Society Panchmahals Godhra,1126.0
E-Seva Society Collector Office Tapi Vyara,295.0
KRISHNAURAM SHIKSHA EVAM JAN KALYAN SAMITI,626.0
Arya bandhu herbs and durgs private limited,9.0
District Sukhmani Society  Ludhiana  Punjab,19.0
District Sukhmani Society Tarn Taran Punjab,2.0
District Family and Welfare Society  Jhajjar,0.0
Electronics Corporation of Tamil Nadu Limited,3979.0
District Magistrate & Collector  South Tripura,42.0
Lankipalli Integrated Services Private Limited,43.0
M/s Gold Square Builders & Promoters Pvt. Ltd.,2697.0
Sant Naval Institute of Information Technology,58.0
District Magistrate & Collector  Gomati District,176.0
District Magistrate & Collector  Khowai District,14.0
District Sukhmani Society Fatehgarh Sahib Punjab,35.0
District Magistrate &  Collector  Dhalai District,48.0
District Magistrate & Collector  Unakoti  District,59.0
District Magistrate & Collector Sepahijala District,234.0
Directorate of Women & Child Department  Govt Of Goa,209.0
District Health and Family Welfare Society Fatehabad,0.0
District Magistrate & Collector  NorthTripura District,50.0
District Magistrate & Collector  West Tripura District,170.0
National Cooperative Consumers Federation of India Limited,3062.0
District Sukhmani Society For Citizen Services Mansa Punjab,18.0
Director  Woman and Child Development  Govt. of Himachal Pradesh,32.0
Rural Environment & Water Assets Reproductive Development Society,11.0
Department of Economics Statistics  Monitoring and Evaluation DESME,34.0
Organisation for Development Integrated Social & Health Action  ODISHA,203.0
Department of Information Technology and e-Gov  Government of Jharkhand,762.0
Directorate of Public Health and Family Welfare  Govt of Andhra Pradesh,22.0
